Month,Ridership
1/1/1991,1708.917
2/1/1991,1620.586
3/1/1991,1972.715
4/1/1991,1811.665
5/1/1991,1974.964
6/1/1991,1862.356
7/1/1991,1939.86
8/1/1991,2013.264
9/1/1991,1595.657
10/1/1991,1724.924
11/1/1991,1675.667
12/1/1991,1813.863
1/1/1992,1614.827
2/1/1992,1557.088
3/1/1992,1891.223
4/1/1992,1955.981
5/1/1992,1884.714
6/1/1992,1623.042
7/1/1992,1903.309
8/1/1992,1996.712
9/1/1992,1703.897
10/1/1992,1810
11/1/1992,1861.601
12/1/1992,1875.122
1/1/1993,1705.259
2/1/1993,1618.535
3/1/1993,1836.709
4/1/1993,1957.043
5/1/1993,1917.185
6/1/1993,1882.398
7/1/1993,1933.009
8/1/1993,1996.167
9/1/1993,1672.841
10/1/1993,1752.827
11/1/1993,1720.377
12/1/1993,1734.292
1/1/1994,1563.365
2/1/1994,1573.959
3/1/1994,1902.639
4/1/1994,1833.888
5/1/1994,1831.049
6/1/1994,1775.755
7/1/1994,1867.508
8/1/1994,1906.608
9/1/1994,1685.632
10/1/1994,1778.546
11/1/1994,1775.995
12/1/1994,1783.35
1/1/1995,1548.415
2/1/1995,1496.925
3/1/1995,1798.316
4/1/1995,1732.895
5/1/1995,1772.345
6/1/1995,1761.207
7/1/1995,1791.655
8/1/1995,1874.82
9/1/1995,1571.309
10/1/1995,1646.948
11/1/1995,1672.631
12/1/1995,1656.845
1/1/1996,1381.758
2/1/1996,1360.852
3/1/1996,1558.575
4/1/1996,1608.42
5/1/1996,1696.696
6/1/1996,1693.183
7/1/1996,1835.516
8/1/1996,1942.573
9/1/1996,1551.401
10/1/1996,1686.508
11/1/1996,1576.204
12/1/1996,1700.433
1/1/1997,1396.588
2/1/1997,1371.69
3/1/1997,1707.522
4/1/1997,1654.604
5/1/1997,1762.903
6/1/1997,1775.8
7/1/1997,1934.219
8/1/1997,2008.055
9/1/1997,1615.924
10/1/1997,1773.91
11/1/1997,1732.368
12/1/1997,1796.626
1/1/1998,1570.33
2/1/1998,1412.691
3/1/1998,1754.641
4/1/1998,1824.932
5/1/1998,1843.289
6/1/1998,1825.964
7/1/1998,1968.172
8/1/1998,1921.645
9/1/1998,1669.597
10/1/1998,1791.474
11/1/1998,1816.714
12/1/1998,1846.754
1/1/1999,1599.427
2/1/1999,1548.804
3/1/1999,1832.333
4/1/1999,1839.72
5/1/1999,1846.498
6/1/1999,1864.852
7/1/1999,1965.743
8/1/1999,1949.002
9/1/1999,1607.373
10/1/1999,1803.664
11/1/1999,1850.309
12/1/1999,1836.435
1/1/2000,1541.66
2/1/2000,1616.928
3/1/2000,1919.538
4/1/2000,1971.493
5/1/2000,1992.301
6/1/2000,2009.763
7/1/2000,2053.996
8/1/2000,2097.471
9/1/2000,1823.706
10/1/2000,1976.997
11/1/2000,1981.408
12/1/2000,2000.153
1/1/2001,1683.148
2/1/2001,1663.404
3/1/2001,2007.928
4/1/2001,2023.792
5/1/2001,2047.008
6/1/2001,2072.913
7/1/2001,2126.717
8/1/2001,2202.638
9/1/2001,1707.693
10/1/2001,1950.716
11/1/2001,1973.614
12/1/2001,1984.729
1/1/2002,1759.629
2/1/2002,1770.595
3/1/2002,2019.912
4/1/2002,2048.398
5/1/2002,2068.763
6/1/2002,1994.267
7/1/2002,2075.258
8/1/2002,2026.56
9/1/2002,1734.155
10/1/2002,1916.771
11/1/2002,1858.345
12/1/2002,1996.352
1/1/2003,1778.033
2/1/2003,1749.489
3/1/2003,2066.466
4/1/2003,2098.899
5/1/2003,2104.911
6/1/2003,2129.671
7/1/2003,2223.349
8/1/2003,2174.36
9/1/2003,1931.406
10/1/2003,2121.47
11/1/2003,2076.054
12/1/2003,2140.677
1/1/2004,1831.508
2/1/2004,1838.006
3/1/2004,2132.446
